,neuron_id,mean_firing_rate,cv2_isi,cluster,waveform_width,peak_asymmetry,channel,is_single_unit,session_name,group_name,experiment_name
73,105.0,7.614266191077805,0.922324784564116,slow_irregular,51.0,0.20318725099601595,16,1,ESHOCK_08_LOC1,sham,ESHOCK
74,106.0,2.871664605369361,0.3256722088849504,slow_regular,58.0,0.19463087248322147,13,1,ESHOCK_08_LOC1,sham,ESHOCK
75,107.0,2.1665861685008614,0.9317600876292351,slow_irregular,67.0,0.2757201646090535,14,1,ESHOCK_08_LOC1,sham,ESHOCK
76,108.0,27.128658933454886,0.16381709349326284,fast_firing,25.0,0.09881422924901186,21,1,ESHOCK_08_LOC1,sham,ESHOCK
77,109.0,8.096461147913695,0.514456805173885,fast_firing,63.0,0.22580645161290322,21,1,ESHOCK_08_LOC1,sham,ESHOCK
78,110.0,4.492767404816833,0.7536654384275067,slow_irregular,51.0,0.19245283018867926,24,1,ESHOCK_08_LOC1,sham,ESHOCK
79,111.0,10.810147143223917,0.3888304474070363,fast_firing,20.0,0.08130081300813008,26,1,ESHOCK_08_LOC1,sham,ESHOCK
80,112.0,16.937865775249197,0.08470397405113994,fast_firing,,,19,1,ESHOCK_08_LOC1,sham,ESHOCK
81,113.0,8.95182295626514,0.5258987515435385,fast_firing,14.0,0.05785123966942149,32,1,ESHOCK_08_LOC1,sham,ESHOCK
82,114.0,0.7802110253899722,0.3467415534379972,slow_regular,138.0,0.45695364238410596,23,1,ESHOCK_08_LOC1,sham,ESHOCK
83,115.0,15.371937524400112,0.3404118259302085,fast_firing,44.0,0.1774193548387097,23,1,ESHOCK_08_LOC1,sham,ESHOCK
84,116.0,10.687985983374917,0.4588758879864582,fast_firing,59.0,0.27699530516431925,31,1,ESHOCK_08_LOC1,sham,ESHOCK
85,117.0,0.7949644176252778,0.41855217536198996,slow_regular,81.0,0.41968911917098445,23,1,ESHOCK_08_LOC1,sham,ESHOCK
86,118.0,0.5808841701684166,0.6013763592640545,slow_regular,82.0,0.21025641025641026,23,1,ESHOCK_08_LOC1,sham,ESHOCK
